Date,Transect,NET,Impact,dt
2021-12-05 22:00,CN_SRI_MUM_02631022,0.402,1,+46h
2021-11-23 04:00,CN_SRI_MUM_02631022,-0.663,1,+28h
2021-12-08 01:00,CN_SRI_MUM_02631022,-1.039,1,+25h
2021-12-09 03:00,CN_SRI_MUM_02631022,-1.122,1,+27h
2021-12-01 03:00,CN_SRI_MUM_02631022,0.350,1,+27h
2021-12-07 23:00,CN_SRI_MUM_02631022,0.461,1,+47h
2021-11-26 02:00,CN_SRI_MUM_02631022,0.057,1,+26h
2021-12-10 03:00,CN_SRI_MUM_02631022,-1.041,1,+27h
2021-12-02 15:00,CN_SRI_MUM_02631022,0.686,2,+39h
2021-11-30 18:00,CN_SRI_MUM_02631022,0.099,1,+42h
2021-12-01 21:00,CN_SRI_MUM_02631022,-0.532,1,+45h
2021-11-18 08:00,CN_SRI_MUM_02631022,0.456,1,+32h
2021-12-04 18:00,CN_SRI_MUM_02631022,1.752,2,+42h
2021-12-10 02:00,CN_SRI_MUM_02631022,-0.475,1,+26h
2021-11-28 04:00,CN_SRI_MUM_02631022,0.184,1,+28h
2021-12-06 06:00,CN_SRI_MUM_02631022,0.163,1,+30h
2021-11-14 13:00,CN_SRI_MUM_02631022,0.271,1,+37h
2021-12-04 11:00,CN_SRI_MUM_02631022,-1.189,1,+35h
2021-11-26 07:00,CN_SRI_MUM_02631022,-0.307,1,+31h
2021-11-09 09:00,CN_SRI_MUM_02631022,0.759,2,+09h
2021-12-09 06:00,CN_SRI_MUM_02631022,-0.860,1,+30h
2021-11-23 08:00,CN_SRI_MUM_02631022,0.553,1,+32h
2021-11-10 08:00,CN_SRI_MUM_02631022,-0.067,1,+32h
2021-11-16 00:00,CN_SRI_MUM_02631022,-0.291,1,+48h
2021-12-08 06:00,CN_SRI_MUM_02631022,-0.730,1,+30h
2021-11-13 13:00,CN_SRI_MUM_02631022,0.519,1,+37h
2021-12-03 14:00,CN_SRI_MUM_02631022,0.028,1,+38h
2021-12-03 20:00,CN_SRI_MUM_02631022,0.898,2,+44h
2021-12-02 06:00,CN_SRI_MUM_02631022,0.561,1,+30h
2021-11-22 08:00,CN_SRI_MUM_02631022,0.557,1,+32h
2021-11-30 15:00,CN_SRI_MUM_02631022,0.825,2,+39h
2021-12-05 15:00,CN_SRI_MUM_02631022,-0.612,1,+39h
2021-12-07 00:00,CN_SRI_MUM_02631022,-0.036,1,+48h
2021-11-24 11:00,CN_SRI_MUM_02631022,-0.108,1,+35h
2021-11-19 07:00,CN_SRI_MUM_02631022,0.888,2,+31h
2021-11-09 20:00,CN_SRI_MUM_02631022,1.086,2,+20h
2021-11-11 13:00,CN_SRI_MUM_02631022,0.177,1,+37h
2021-11-12 13:00,CN_SRI_MUM_02631022,0.331,1,+37h
2021-11-29 14:00,CN_SRI_MUM_02631022,0.478,1,+38h
2021-12-10 07:00,CN_SRI_MUM_02631022,-1.098,1,+31h
2021-11-25 02:00,CN_SRI_MUM_02631022,-0.324,1,+26h
2021-11-29 13:00,CN_SRI_MUM_02631022,0.386,1,+37h
2021-11-09 01:00,CN_SRI_MUM_02631022,-0.359,1,+01h
2021-12-01 12:00,CN_SRI_MUM_02631022,-0.485,1,+36h
2021-11-24 22:00,CN_SRI_MUM_02631022,1.190,2,+46h
2021-11-24 17:00,CN_SRI_MUM_02631022,-0.531,1,+41h
2021-12-09 05:00,CN_SRI_MUM_02631022,-1.195,1,+29h
2021-11-10 19:00,CN_SRI_MUM_02631022,-0.088,1,+43h
2021-11-25 01:00,CN_SRI_MUM_02631022,0.120,1,+25h
2021-12-08 11:00,CN_SRI_MUM_02631022,0.432,1,+35h
2021-12-04 09:00,CN_SRI_MUM_02631022,-0.283,1,+33h
2021-12-01 09:00,CN_SRI_MUM_02631022,-1.025,1,+33h
2021-11-18 13:00,CN_SRI_MUM_02631022,-0.661,1,+37h
2021-11-21 09:00,CN_SRI_MUM_02631022,0.398,1,+33h
2021-12-05 19:00,CN_SRI_MUM_02631022,1.609,2,+43h
2021-11-18 11:00,CN_SRI_MUM_02631022,-0.713,1,+35h
2021-11-18 19:00,CN_SRI_MUM_02631022,1.193,2,+43h
2021-12-07 09:00,CN_SRI_MUM_02631022,1.282,2,+33h
2021-11-14 16:00,CN_SRI_MUM_02631022,0.545,1,+40h
2021-11-12 14:00,CN_SRI_MUM_02631022,0.201,1,+38h
2021-12-07 13:00,CN_SRI_MUM_02631022,-0.795,1,+37h
2021-12-10 06:00,CN_SRI_MUM_02631022,-1.442,1,+30h
2021-12-07 02:00,CN_SRI_MUM_02631022,-0.846,1,+26h
2021-12-09 11:00,CN_SRI_MUM_02631022,0.507,1,+35h
2021-11-20 22:00,CN_SRI_MUM_02631022,0.345,1,+46h
2021-11-14 01:00,CN_SRI_MUM_02631022,0.857,2,+25h
2021-11-10 07:00,CN_SRI_MUM_02631022,-0.527,1,+31h
2021-12-08 07:00,CN_SRI_MUM_02631022,-0.085,1,+31h
2021-11-09 21:00,CN_SRI_MUM_02631022,1.527,2,+21h
2021-11-29 12:00,CN_SRI_MUM_02631022,0.179,1,+36h
2021-12-05 23:00,CN_SRI_MUM_02631022,-0.397,1,+47h
2021-11-10 23:00,CN_SRI_MUM_02631022,1.417,2,+47h
2021-12-04 17:00,CN_SRI_MUM_02631022,1.404,2,+41h
2021-12-07 03:00,CN_SRI_MUM_02631022,-0.857,1,+27h
2021-11-12 08:00,CN_SRI_MUM_02631022,-0.975,1,+32h
2021-11-13 09:00,CN_SRI_MUM_02631022,-0.579,1,+33h
2021-12-04 13:00,CN_SRI_MUM_02631022,-1.096,1,+37h
2021-11-15 23:00,CN_SRI_MUM_02631022,-0.560,1,+47h
2021-11-25 15:00,CN_SRI_MUM_02631022,-0.768,1,+39h
2021-11-20 00:00,CN_SRI_MUM_02631022,-0.978,1,+48h
2021-11-30 02:00,CN_SRI_MUM_02631022,0.793,2,+26h
2021-11-17 10:00,CN_SRI_MUM_02631022,-0.510,1,+34h
2021-11-19 01:00,CN_SRI_MUM_02631022,-1.017,1,+25h
2021-11-10 16:00,CN_SRI_MUM_02631022,-1.095,1,+40h
2021-12-02 10:00,CN_SRI_MUM_02631022,-1.064,1,+34h
2021-11-12 07:00,CN_SRI_MUM_02631022,-1.182,1,+31h
2021-11-24 04:00,CN_SRI_MUM_02631022,-0.808,1,+28h
2021-12-06 23:00,CN_SRI_MUM_02631022,0.682,2,+47h
2021-12-07 20:00,CN_SRI_MUM_02631022,1.550,2,+44h
2021-12-07 04:00,CN_SRI_MUM_02631022,-0.571,1,+28h
2021-11-16 13:00,CN_SRI_MUM_02631022,-0.328,1,+37h
2021-12-07 21:00,CN_SRI_MUM_02631022,1.499,2,+45h
2021-11-10 04:00,CN_SRI_MUM_02631022,-1.180,1,+28h
2021-11-14 08:00,CN_SRI_MUM_02631022,-0.743,1,+32h
2021-12-02 02:00,CN_SRI_MUM_02631022,0.212,1,+26h
2021-11-28 17:00,CN_SRI_MUM_02631022,-0.318,1,+41h
2021-11-12 09:00,CN_SRI_MUM_02631022,-0.636,1,+33h
